hum,tempdegc,gasconc
74.4,31.3,237
74.4,31.3,234
74.4,31.4,239
74.4,31.4,242
74.3,31.4,243
74.3,31.4,243
74.4,31.5,243
74.4,31.5,244
74.3,31.5,243
74.3,31.5,246
74.1,31.5,244
74.1,31.5,244
74,31.6,241
74,31.6,241
73.8,31.6,238
73.8,31.6,238
73.6,31.6,236
73.6,31.6,237
73.3,31.6,235
73.3,31.6,236
73.3,31.7,233
73.3,31.7,234
73.1,31.7,231
73.1,31.7,232
73,31.7,230
73,31.7,230
72.9,31.8,229
72.9,31.8,228
72.8,31.8,228
72.8,31.8,226
72.7,31.8,227
72.7,31.8,227
72.7,31.9,226
72.7,31.9,226
72.7,31.9,224
72.7,31.9,224
72.6,31.9,223
72.6,31.9,222
72.5,31.9,222
72.5,31.9,221
72.3,31.9,221
72.3,31.9,220
72.3,31.9,223
72.3,31.9,226
72.3,31.9,228
72.3,31.9,230
72.3,32,245
72.3,32,268
72.2,31.9,275
72.2,31.9,296
72.1,31.9,312
72.1,31.9,315
72.1,31.9,340
72.1,31.9,389
72.1,31.9,407
72.1,31.9,407
72.1,31.9,402
72.1,31.9,400
72,31.9,400
72,31.9,448
72.1,32,600
72.1,32,654
72.1,32,672
72.1,32,726
72.1,32,741
72.1,32,770
72.1,32,781
72.1,32,794
72.1,32,789
72.1,32,766
72,32,748
72,32,734
72,32.1,728
72,32.1,715
72,32.1,695
72,32.1,653
71.9,32.1,627
71.9,32.1,598
71.8,32.1,570
71.8,32.1,544
71.9,32.2,520
71.9,32.2,500
71.9,32.2,479
71.9,32.2,465
71.8,32.2,451
71.8,32.2,439
71.7,32.2,428
71.7,32.2,419
71.6,32.2,410
71.6,32.2,407
71.6,32.2,505
71.6,32.2,560
71.5,32.2,595
71.5,32.2,572
71.6,32.3,540
71.6,32.3,534
71.5,32.3,544
71.5,32.3,555
71.5,32.4,563
71.5,32.4,572
71.5,32.4,561
71.5,32.4,582
71.5,32.5,583
71.5,32.5,542
71.5,32.5,506
71.5,32.5,478
71.4,32.6,453
71.4,32.6,431
71.4,32.6,413
71.4,32.6,397
71.4,32.7,385
71.4,32.7,374
71.4,32.7,365
71.4,32.7,357
71.3,32.7,353
71.3,32.7,407
71.3,32.8,424
71.3,32.8,415
71.4,32.9,413
71.4,32.9,395
71.3,32.8,379
71.3,32.8,369
71.3,32.9,368
71.3,32.9,373
71.3,33,373
71.3,33,459
71.3,33,470
71.3,33,534
71.2,33,540
71.2,33,542
71.3,33.1,551
71.3,33.1,559
71.3,33.1,548
71.3,33.1,517
71.2,33.1,491
71.2,33.1,468
71.2,33.1,474
71.2,33.1,474
71.3,33.2,483
71.3,33.2,476
71.2,33.2,461
71.2,33.2,467
71.2,33.2,483
71.2,33.2,536
71.2,33.2,673
71.2,33.2,726
71.3,33.3,745
71.3,33.3,735
71.2,33.3,706
71.2,33.3,634
71.3,33.3,590
71.3,33.3,557
71.3,33.3,526
71.3,33.3,499
71.3,33.3,477
71.3,33.3,460
71.3,33.3,445
71.3,33.3,433
71.3,33.3,422
71.3,33.3,413
71.2,33.2,404
71.2,33.2,396
71.2,33.2,388
71.2,33.2,381
71.1,33.2,374
71.1,33.2,367
71.1,33.1,360
71.1,33.1,355
70.9,33,349
70.9,33,344
70.9,33,339
70.9,33,334
70.9,33,330
70.9,33,326
70.9,32.9,322
70.9,32.9,318
70.7,32.8,316
70.7,32.8,313
70.8,32.8,312
70.8,32.8,310
70.8,32.8,308
70.8,32.8,306
70.8,32.7,305
70.8,32.7,304
70.8,32.7,302
70.8,32.7,301
70.8,32.6,300
70.8,32.6,299
70.8,32.6,298
70.8,32.6,296
70.8,32.6,295
70.8,32.6,294
70.8,32.5,293
70.8,32.5,292
70.8,32.5,290
70.8,32.5,289
70.9,32.5,288
70.9,32.5,287
70.8,32.4,286
70.8,32.4,285
70.9,32.4,285
70.9,32.4,284
70.9,32.4,284
70.9,32.4,283
70.9,32.3,283
70.9,32.3,282
70.9,32.3,281
70.9,32.3,279
70.9,32.2,278
70.9,32.2,277
70.9,32.2,276
70.9,32.2,275
71,32.2,275
71,32.2,275
71,32.1,275
71,32.1,275
71,32.1,275
71,32.1,275
71.1,32.1,275
71.1,32.1,275
71.2,32.1,274
71.2,32.1,274
71.1,32,274
71.1,32,274
71.2,32,274
71.2,32,273
71.3,32,273
71.3,32,272
71.3,32,271
71.3,32,269
71.3,31.9,268
71.3,31.9,267
71.4,31.9,266
71.4,31.9,266
71.4,31.9,266
71.4,31.9,265
71.3,31.8,265
71.3,31.8,265
71.4,31.8,265
71.4,31.8,265
71.5,31.8,265
71.5,31.8,266
71.5,31.8,265
71.5,31.8,266
71.5,31.7,266
71.5,31.7,266
71.6,31.7,266
71.6,31.7,266
71.6,31.7,265
