 <m?>,hum,tempdegc,gasconc
1,74.4,31.3,237
2,74.4,31.3,234
3,74.4,31.4,239
4,74.4,31.4,242
5,74.3,31.4,243
6,74.3,31.4,243
7,74.4,31.5,243
8,74.4,31.5,244
9,74.3,31.5,243
10,74.3,31.5,246
11,74.1,31.5,244
12,74.1,31.5,244
13,74,31.6,241
14,74,31.6,241
15,73.8,31.6,238
16,73.8,31.6,238
17,73.6,31.6,236
18,73.6,31.6,237
19,73.3,31.6,235
20,73.3,31.6,236
21,73.3,31.7,233
22,73.3,31.7,234
23,73.1,31.7,231
24,73.1,31.7,232
25,73,31.7,230
26,73,31.7,230
27,72.9,31.8,229
28,72.9,31.8,228
29,72.8,31.8,228
30,72.8,31.8,226
31,72.7,31.8,227
32,72.7,31.8,227
33,72.7,31.9,226
34,72.7,31.9,226
35,72.7,31.9,224
36,72.7,31.9,224
37,72.6,31.9,223
38,72.6,31.9,222
39,72.5,31.9,222
40,72.5,31.9,221
41,72.3,31.9,221
42,72.3,31.9,220
43,72.3,31.9,223
44,72.3,31.9,226
45,72.3,31.9,228
46,72.3,31.9,230
47,72.3,32,245
48,72.3,32,268
49,72.2,31.9,275
50,72.2,31.9,296
51,72.1,31.9,312
52,72.1,31.9,315
53,72.1,31.9,340
54,72.1,31.9,389
55,72.1,31.9,407
56,72.1,31.9,407
57,72.1,31.9,402
58,72.1,31.9,400
59,72,31.9,400
60,72,31.9,448
61,72.1,32,600
62,72.1,32,654
63,72.1,32,672
64,72.1,32,726
65,72.1,32,741
66,72.1,32,770
67,72.1,32,781
68,72.1,32,794
69,72.1,32,789
70,72.1,32,766
71,72,32,748
72,72,32,734
73,72,32.1,728
74,72,32.1,715
75,72,32.1,695
76,72,32.1,653
77,71.9,32.1,627
78,71.9,32.1,598
79,71.8,32.1,570
80,71.8,32.1,544
81,71.9,32.2,520
82,71.9,32.2,500
83,71.9,32.2,479
84,71.9,32.2,465
85,71.8,32.2,451
86,71.8,32.2,439
87,71.7,32.2,428
88,71.7,32.2,419
89,71.6,32.2,410
90,71.6,32.2,407
91,71.6,32.2,505
92,71.6,32.2,560
93,71.5,32.2,595
94,71.5,32.2,572
95,71.6,32.3,540
96,71.6,32.3,534
97,71.5,32.3,544
98,71.5,32.3,555
99,71.5,32.4,563
100,71.5,32.4,572
101,71.5,32.4,561
102,71.5,32.4,582
103,71.5,32.5,583
104,71.5,32.5,542
105,71.5,32.5,506
106,71.5,32.5,478
107,71.4,32.6,453
108,71.4,32.6,431
109,71.4,32.6,413
110,71.4,32.6,397
111,71.4,32.7,385
112,71.4,32.7,374
113,71.4,32.7,365
114,71.4,32.7,357
115,71.3,32.7,353
116,71.3,32.7,407
